Location	2010 Population	2014 Population
Summit town	1,123	1,148
Wright town	1,547	1,539
Schuyler County	19,222	18,343
Catharine town	1,930	1,762
Cayuta town	545	556
Dix town	4,197	3,864
Hector town	4,854	4,940
Montour town	2,446	2,308
Orange town	1,754	1,609
Reading town	1,786	1,707
Tyrone town	1,710	1,597
Seneca County	33,342	35,251
Covert town	2,227	2,154
Fayette town	3,643	3,929
Geneva city	0	0
Junius town	1,362	1,471
Lodi town	1,478	1,550
Ovid town	2,755	2,311
Romulus town	2,036	4,316
Seneca Falls town	9,347	9,040
Tyre town	899	981
Varick town	1,729	1,857
Waterloo town	7,866	7,642
Steuben County	98,728	98,990
Addison town	2,640	2,595
Avoca town	2,311	2,264
Bath town	12,088	12,379
Bradford town	772	855
Cameron town	1,034	945
Campbell town	3,691	3,406
Canisteo town	3,583	3,391
Caton town	2,097	2,179
Cohocton town	2,626	2,561
Corning city	10,835	11,183
Corning town	6,433	6,270
Dansville town	1,977	1,842
Erwin town	7,227	8,037
Fremont town	964	1,008
Greenwood town	849	801
Hartsville town	585	609
Hornby town	1,742	1,706
Hornell city	9,149	8,563
Hornellsville town	3,915	4,151
Howard town	1,430	1,467
Jasper town	1,270	1,424
Lindley town	1,913	1,967
Prattsburgh town	2,064	2,085
Pulteney town	1,405	1,285
Rathbone town	1,080	1,126
Thurston town	1,309	1,350
Troupsburg town	1,126	1,291
Tuscarora town	1,400	1,473
Urbana town	2,546	2,343
Wayland town	4,314	4,102
Wayne town	1,167	1,041
West Union town	399	312
Wheeler town	1,263	1,260
Woodhull town	1,524	1,719
Suffolk County	1,419,372	1,493,350
Babylon town	212,139	213,603
Brookhaven town	448,239	486,040
East Hampton town	19,719	21,457
Huntington town	195,289	203,264
Islip town	322,435	335,543
Poospatuck Reservation	283	324
Riverhead town	27,680	33,506
Shelter Island town	2,226	2,392
Shinnecock Reservation	504	662
Smithtown town	115,545	117,801
Southampton town	54,714	56,790
Southold town	20,599	21,968
Sullivan County	73,962	77,547
Bethel town	4,364	4,255
Callicoon town	3,052	3,057
Cochecton town	1,327	1,372
Delaware town	2,720	2,670
Fallsburg town	12,227	12,870
Forestburgh town	831	819
Fremont town	1,387	1,381
Highland town	2,407	2,530
Liberty town	9,638	9,885
Lumberland town	1,936	2,468
Mamakating town	11,004	12,085
Neversink town	3,556	3,557
Rockland town	3,913	3,775
Thompson town	14,185	15,308
Tusten town	1,415	1,515
Tioga County	51,787	51,125
Barton town	9,066	8,858
Berkshire town	1,366	1,412
Candor town	5,317	5,305
Newark Valley town	4,100	3,946
Nichols town	2,583	2,525
Owego town	20,366	19,883
Richford town	1,170	1,172
Spencer town	2,979	3,153
Tioga town	4,840	4,871
Tompkins County	96,502	101,564
Caroline town	2,912	3,282
Danby town	3,007	3,329
Dryden town	13,531	14,435
Enfield town	3,370	3,512
Groton town	5,794	5,950
Ithaca city	28,775	30,014
Ithaca town	18,709	19,930
Lansing town	10,521	11,033
Newfield town	5,108	5,179
Ulysses town	4,775	4,900
Ulster County	177,694	182,493
Denning town	511	551
Esopus town	9,333	9,041
Gardiner town	5,238	5,713
Hardenburgh town	208	238
Hurley town	6,562	6,314
Kingston city	23,478	23,893
Kingston town	908	889
Lloyd town	9,938	10,863
Marbletown town	5,854	5,607
Marlborough town	8,263	8,808
New Paltz town	12,830	14,003
Olive town	4,579	4,419
Plattekill town	9,889	10,499
Rochester town	7,010	7,313
Rosendale town	6,345	6,075
Saugerties town	18,822	19,482
Shandaken town	3,226	3,085
Shawangunk town	12,020	14,332
Ulster town	12,526	12,327
Wawarsing town	13,928	13,157
Woodstock town	6,226	5,884
Warren County	63,303	65,707
Bolton town	2,117	2,326
Chester town	3,614	3,355
Glens Falls city	14,354	14,700
Hague town	854	699
Horicon town	1,479	1,389
Johnsburg town	2,450	2,395
Lake George town	3,578	3,515
Lake Luzerne town	3,219	3,347
Queensbury town	25,441	27,901
Stony Creek town	743	767
Thurman town	1,199	1,219
Warrensburg town	4,255	4,094
Washington County	61,042	63,216
Argyle town	3,688	3,782
Cambridge town	2,154	2,021
Dresden town	677	652
Easton town	2,259	2,336
Fort Ann town	6,417	6,190
Fort Edward town	5,892	6,371
Granville town	6,456	6,669
Greenwich town	4,896	4,942
Hampton town	871	938
